Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C1,CP_EIA-7343-31_Kemet-D,1,470uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",D_DO-35_SOD27_P7.62mm_Horizontal,88,1N4148,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88,WS2812B,
J1,SSD1306-0.91-OLED-4pin-128x32,1,Conn_01x04_Pin,
R1,0805,1,470Ω,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW7, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW9",MX-Hotswap-1U,73,SW_Push,
"SW63, SW64, SW65, SW67, SW68, SW69, SW70",MX-Hotswap-1.25U,7,SW_Push,
SW66,MX-Hotswap-6.25U,1,SW_Push,
"SW82, SW87",MX-Hotswap-2.25U,2,SW_Push,
"SW83, SW84",MX-Hotswap-1.5U,2,SW_Push,
SW85,MX-Hotswap-1.75U,1,SW_Push,
SW86,MX-Hotswap-2U,1,SW_Push,
SW88,MX-Hotswap-2.75U,1,SW_Push,
SW89,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
